epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,118.171,1.08662,1.89238,0.96564,0.0079,0.83333,0.7331,0.53999,0.91759,3.57642,0.92006,0.00031042,0.00031042,0.00031042
46,120.714,0.96112,1.92587,0.96353,0.0079,0.83333,0.7331,0.53999,0.91759,3.57642,0.92006,0.000311906,0.000311906,0.000311906
47,123.393,1.00952,2.19984,0.79056,0.00797,0.83333,0.74607,0.57198,0.83389,3.53782,0.88775,0.000313145,0.000313145,0.000313145
48,126.192,0.85245,1.37408,1.01358,0.00797,0.83333,0.74607,0.57198,0.83389,3.53782,0.88775,0.000314136,0.000314136,0.000314136
49,129.061,0.94054,1.91252,1.05981,0.00814,0.83333,0.83035,0.67408,0.74104,3.52445,0.86484,0.00031488,0.00031488,0.00031488
50,131.572,0.91466,1.71234,0.94765,0.00814,0.83333,0.83035,0.67408,0.74104,3.52445,0.86484,0.000315376,0.000315376,0.000315376
51,134.585,0.7921,1.47762,0.93261,0.00823,0.83333,0.83033,0.71238,0.69017,3.5014,0.85972,0.000315625,0.000315625,0.000315625
52,139.217,0.62296,1.85943,0.85573,0.00823,0.83333,0.83033,0.71238,0.69017,3.5014,0.85972,0.000315626,0.000315626,0.000315626
53,142.212,0.70224,1.32264,0.92671,0.00823,0.83333,0.83033,0.71238,0.69017,3.5014,0.85972,0.00031538,0.00031538,0.00031538
54,145.704,0.83962,1.56973,0.9219,0.00809,0.83333,0.81366,0.68075,0.65556,3.50022,0.85256,0.000314886,0.000314886,0.000314886
55,148.423,0.78529,1.18584,0.86493,0.00809,0.83333,0.81366,0.68075,0.65556,3.50022,0.85256,0.000314145,0.000314145,0.000314145
56,151.202,0.77005,1.52605,0.88883,0.00809,0.83333,0.81366,0.68075,0.65556,3.50022,0.85256,0.000313156,0.000313156,0.000313156
57,153.972,0.73401,1.98398,0.97184,0.00793,0.83333,0.81366,0.66592,0.67825,3.48949,0.85486,0.00031192,0.00031192,0.00031192
58,156.6,0.64497,1.33985,0.86884,0.00793,0.83333,0.81366,0.66592,0.67825,3.48949,0.85486,0.000310436,0.000310436,0.000310436
59,159.032,0.73993,1.27611,0.87605,0.00793,0.83333,0.81366,0.66592,0.67825,3.48949,0.85486,0.000308705,0.000308705,0.000308705
60,162.809,0.60396,1.16955,0.83147,0.00778,0.83333,0.73273,0.5647,0.70375,3.49496,0.86427,0.000306726,0.000306726,0.000306726
61,166.202,0.80248,1.33546,0.94184,0.00778,0.83333,0.73273,0.5647,0.70375,3.49496,0.86427,0.0003045,0.0003045,0.0003045
62,169.064,0.78664,1.36334,0.94612,0.00778,0.83333,0.73273,0.5647,0.70375,3.49496,0.86427,0.000302026,0.000302026,0.000302026
63,172.27,0.88628,1.61895,0.97935,0.00781,0.83333,0.62736,0.49289,0.69105,3.4243,0.85744,0.000299305,0.000299305,0.000299305
64,175.256,0.855,1.33609,0.91426,0.00781,0.83333,0.62736,0.49289,0.69105,3.4243,0.85744,0.000296336,0.000296336,0.000296336
65,177.876,0.85215,1.25026,0.85945,0.00781,0.83333,0.62736,0.49289,0.69105,3.4243,0.85744,0.00029312,0.00029312,0.00029312
66,180.736,0.61239,1.19389,0.83023,0.00882,1,0.69146,0.54302,0.67243,3.2772,0.85001,0.000289656,0.000289656,0.000289656
67,183.39,0.83268,1.62594,0.88886,0.00882,1,0.69146,0.54302,0.67243,3.2772,0.85001,0.000285945,0.000285945,0.000285945
68,185.736,0.94227,1.57744,0.94751,0.00882,1,0.69146,0.54302,0.67243,3.2772,0.85001,0.000281986,0.000281986,0.000281986
69,188.732,0.74069,1.35947,0.831,0.00852,1,0.765,0.61135,0.65687,3.16255,0.83988,0.00027778,0.00027778,0.00027778
70,191.454,0.71002,1.05305,0.88237,0.00852,1,0.765,0.61135,0.65687,3.16255,0.83988,0.000273326,0.000273326,0.000273326
71,194.176,0.79952,1.24787,0.90491,0.00852,1,0.765,0.61135,0.65687,3.16255,0.83988,0.000268625,0.000268625,0.000268625
72,196.869,0.9686,1.42806,0.87639,0.00849,1,0.95375,0.81399,0.64213,2.98436,0.82931,0.000263676,0.000263676,0.000263676
73,199.608,0.65032,1.4114,0.83266,0.00849,1,0.95375,0.81399,0.64213,2.98436,0.82931,0.00025848,0.00025848,0.00025848
74,202.38,0.74556,1.33378,0.95338,0.00849,1,0.95375,0.81399,0.64213,2.98436,0.82931,0.000253036,0.000253036,0.000253036
75,205.343,0.6683,1.5237,0.80958,0.58249,1,0.995,0.85204,0.63261,2.79237,0.82661,0.000247345,0.000247345,0.000247345
76,207.955,0.92276,1.84297,1.00904,0.58249,1,0.995,0.85204,0.63261,2.79237,0.82661,0.000241406,0.000241406,0.000241406
77,210.577,0.66182,1.29373,0.89572,0.58249,1,0.995,0.85204,0.63261,2.79237,0.82661,0.00023522,0.00023522,0.00023522
78,213.407,0.57396,1.02115,0.85471,0.99396,0.79835,0.995,0.82714,0.63379,2.67916,0.82395,0.000228786,0.000228786,0.000228786
79,216.149,0.86168,1.14523,0.9402,0.99396,0.79835,0.995,0.82714,0.63379,2.67916,0.82395,0.000222105,0.000222105,0.000222105
80,218.522,0.75699,1.09267,0.8861,0.99396,0.79835,0.995,0.82714,0.63379,2.67916,0.82395,0.000215176,0.000215176,0.000215176
81,221.489,0.75313,1.02796,0.87642,1,0.43012,0.995,0.82714,0.6274,2.56202,0.81757,0.000208,0.000208,0.000208
82,224.064,0.75253,1.68277,0.94809,1,0.43012,0.995,0.82714,0.6274,2.56202,0.81757,0.000200576,0.000200576,0.000200576
83,226.822,0.81027,1.53189,0.89121,1,0.43012,0.995,0.82714,0.6274,2.56202,0.81757,0.000192905,0.000192905,0.000192905
84,229.521,0.7647,1.26822,0.85846,0.98842,0.5,0.995,0.85528,0.59151,2.49181,0.81148,0.000184986,0.000184986,0.000184986
85,232.227,0.66657,1.64515,0.86269,0.98842,0.5,0.995,0.85528,0.59151,2.49181,0.81148,0.00017682,0.00017682,0.00017682
86,234.657,0.48694,0.85663,0.83406,0.98842,0.5,0.995,0.85528,0.59151,2.49181,0.81148,0.000168406,0.000168406,0.000168406
87,237.424,0.62874,1.38195,0.89216,0.98842,0.5,0.995,0.85528,0.59151,2.49181,0.81148,0.000159745,0.000159745,0.000159745
88,240.086,0.86771,1.45675,1.01876,0.97178,0.84234,0.995,0.90928,0.54615,2.3309,0.80165,0.000150836,0.000150836,0.000150836
89,242.768,0.80382,1.30544,0.95842,0.97178,0.84234,0.995,0.90928,0.54615,2.3309,0.80165,0.00014168,0.00014168,0.00014168
90,245.423,0.66001,1.46207,0.93095,0.97178,0.84234,0.995,0.90928,0.54615,2.3309,0.80165,0.000132276,0.000132276,0.000132276
91,249.129,0.7175,1.28976,0.88943,0.97178,0.84234,0.995,0.90928,0.54615,2.3309,0.80165,0.000122625,0.000122625,0.000122625
92,252.429,0.69412,1.5473,0.87207,0.96585,0.99116,0.995,0.90461,0.53669,2.15895,0.79711,0.000112726,0.000112726,0.000112726
93,255.398,0.52575,1.22096,0.82554,0.96585,0.99116,0.995,0.90461,0.53669,2.15895,0.79711,0.00010258,0.00010258,0.00010258
94,258.003,0.62268,1.47528,0.82508,0.96585,0.99116,0.995,0.90461,0.53669,2.15895,0.79711,9.21862e-05,9.21862e-05,9.21862e-05
95,260.551,0.60391,1.37471,0.7484,0.96585,0.99116,0.995,0.90461,0.53669,2.15895,0.79711,8.1545e-05,8.1545e-05,8.1545e-05
96,263.26,0.60099,1.31903,0.79857,0.96868,1,0.995,0.87049,0.5626,2.02352,0.80061,7.06563e-05,7.06563e-05,7.06563e-05
97,266.212,0.63869,1.30237,0.83603,0.96868,1,0.995,0.87049,0.5626,2.02352,0.80061,5.952e-05,5.952e-05,5.952e-05
98,268.534,0.76069,1.70773,0.85971,0.96868,1,0.995,0.87049,0.5626,2.02352,0.80061,4.81363e-05,4.81363e-05,4.81363e-05
99,271.457,0.68337,1.33092,0.93268,0.96868,1,0.995,0.87049,0.5626,2.02352,0.80061,3.6505e-05,3.6505e-05,3.6505e-05
100,273.884,0.52019,1.16987,0.81235,0.96545,1,0.995,0.87048,0.57118,1.9011,0.80092,2.46263e-05,2.46263e-05,2.46263e-05
