epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9292,1.85968,3.48242,2.16887,0.0052,0.67009,0.05013,0.01667,1.95686,4.23781,2.67105,0.000225,0.000225,0.000225
2,170.306,1.65427,3.15661,1.97412,0.00597,0.66703,0.0617,0.0208,2.26301,3.94798,3.03806,0.000457921,0.000457921,0.000457921
3,261.078,1.6388,2.94663,1.9386,0.10238,0.2054,0.08876,0.03681,1.72034,3.45674,2.39601,0.00068614,0.00068614,0.00068614
4,349.896,1.63575,2.82412,1.92566,0.09704,0.15648,0.07374,0.02792,1.93597,3.5715,2.59539,0.000909656,0.000909656,0.000909656
5,440.737,1.57242,2.83398,1.91448,0.38737,0.17861,0.09842,0.03499,1.92417,4.51865,2.78336,0.00112847,0.00112847,0.00112847
6,529.152,1.62725,2.76367,1.94624,0.56344,0.20136,0.0784,0.03285,2.03562,3.73672,2.85596,0.00118812,0.00118812,0.00118812
7,619.546,1.61074,2.68131,1.87394,0.05833,0.20153,0.04813,0.01608,2.27006,3.51865,3.08977,0.00117575,0.00117575,0.00117575
8,708.87,1.62801,2.6891,1.92183,0.06373,0.22736,0.04605,0.01376,2.45462,3.96542,3.19081,0.00116337,0.00116337,0.00116337
9,800.906,1.6493,2.68153,1.93251,0.06501,0.29041,0.09554,0.03479,1.9704,4.18695,2.98156,0.001151,0.001151,0.001151
10,891.564,1.59421,2.59582,1.86188,0.25741,0.24017,0.16357,0.07174,1.87941,3.11772,2.74713,0.00113863,0.00113863,0.00113863
11,981.506,1.59989,2.53863,1.90256,0.36606,0.20588,0.09438,0.03171,2.0632,3.67895,2.71691,0.00112625,0.00112625,0.00112625
12,1071.68,1.57745,2.54237,1.89125,0.31392,0.16035,0.11302,0.04383,1.78117,3.43295,2.4032,0.00111388,0.00111388,0.00111388
13,1162,1.57697,2.46467,1.85026,0.14797,0.24795,0.1151,0.04486,2.29042,3.49192,2.76662,0.0011015,0.0011015,0.0011015
14,1252.04,1.53276,2.37484,1.79964,0.10145,0.34584,0.16645,0.06357,1.85615,3.18235,2.53876,0.00108913,0.00108913,0.00108913
15,1341.61,1.50784,2.30814,1.78959,0.18549,0.26183,0.1615,0.0694,1.88105,3.07338,2.59285,0.00107675,0.00107675,0.00107675
16,1432.5,1.54641,2.36124,1.81449,0.22952,0.39779,0.24525,0.11006,1.76993,2.63936,2.35929,0.00106437,0.00106437,0.00106437
17,1522.51,1.49555,2.32018,1.80886,0.20738,0.36638,0.22117,0.09671,1.9198,2.76474,2.4667,0.001052,0.001052,0.001052
18,1613.21,1.46539,2.25512,1.76535,0.2387,0.30012,0.24135,0.10859,2.00497,2.59394,2.53831,0.00103962,0.00103962,0.00103962
19,1704.46,1.4787,2.21374,1.77367,0.23709,0.35504,0.22947,0.10373,1.85134,2.55873,2.42864,0.00102725,0.00102725,0.00102725
20,1795.24,1.44436,2.15429,1.74125,0.14868,0.2957,0.16784,0.0664,1.81731,2.78356,2.35332,0.00101488,0.00101488,0.00101488
21,1885.14,1.48022,2.1961,1.7539,0.21385,0.35056,0.23905,0.11741,1.74666,2.51672,2.26319,0.0010025,0.0010025,0.0010025
22,1976.66,1.45777,2.06769,1.7223,0.1478,0.34353,0.17412,0.06319,2.16345,3.34408,2.56072,0.000990125,0.000990125,0.000990125
23,2067.32,1.43359,2.04484,1.72259,0.41529,0.4368,0.38786,0.20433,1.63357,2.14536,2.18887,0.00097775,0.00097775,0.00097775
24,2157.77,1.45655,2.099,1.73619,0.36584,0.32087,0.3217,0.16111,1.71234,2.3492,2.2552,0.000965375,0.000965375,0.000965375
25,2247.76,1.40332,2.04173,1.70956,0.18287,0.415,0.3126,0.1604,1.64982,2.42867,2.15869,0.000953,0.000953,0.000953
26,2352.36,1.38531,2.02435,1.68425,0.25425,0.46637,0.29466,0.13628,1.66521,2.1725,2.19761,0.000940625,0.000940625,0.000940625
27,2465.21,1.38399,2.00951,1.6602,0.38571,0.42624,0.37192,0.16529,1.90565,2.1974,2.49165,0.00092825,0.00092825,0.00092825
28,2573.61,1.38683,1.92019,1.67397,0.55574,0.38102,0.41446,0.21347,1.81049,2.12718,2.32046,0.000915875,0.000915875,0.000915875
29,2679.53,1.36049,1.92706,1.65459,0.46273,0.44102,0.41874,0.22808,1.72347,2.11029,2.2582,0.0009035,0.0009035,0.0009035
30,2784.53,1.35125,1.90903,1.64812,0.2954,0.4671,0.37157,0.19732,1.71564,2.17933,2.24695,0.000891125,0.000891125,0.000891125
31,2889.98,1.37042,1.91096,1.65325,0.38714,0.43162,0.40002,0.19885,1.77331,2.14316,2.32093,0.00087875,0.00087875,0.00087875
32,2995.38,1.35894,1.88622,1.63973,0.38569,0.49377,0.36283,0.17125,1.78824,2.20335,2.26912,0.000866375,0.000866375,0.000866375
33,3100.55,1.33653,1.87087,1.64363,0.3215,0.5083,0.35419,0.16853,1.75233,2.12652,2.23459,0.000854,0.000854,0.000854
34,3205.75,1.32236,1.87028,1.63561,0.36259,0.47934,0.34323,0.16863,1.68127,2.06245,2.16909,0.000841625,0.000841625,0.000841625
35,3311.57,1.34127,1.88546,1.66894,0.34762,0.48502,0.42613,0.22606,1.67547,1.97444,2.238,0.00082925,0.00082925,0.00082925
36,3415.26,1.28572,1.77986,1.59574,0.37628,0.51801,0.45465,0.2552,1.62538,1.99132,2.17662,0.000816875,0.000816875,0.000816875
37,3519.98,1.33134,1.84306,1.64799,0.42771,0.42294,0.42788,0.23137,1.63793,1.93709,2.13571,0.0008045,0.0008045,0.0008045
38,3625.79,1.30623,1.81015,1.60364,0.40452,0.49515,0.41452,0.2058,1.70332,1.98241,2.17451,0.000792125,0.000792125,0.000792125
39,3730.39,1.31192,1.81574,1.627,0.43265,0.49723,0.43983,0.2224,1.61068,1.95577,2.14565,0.00077975,0.00077975,0.00077975
40,3834.74,1.22843,1.6989,1.54015,0.58613,0.43113,0.5098,0.26903,1.64256,1.8071,2.19373,0.000767375,0.000767375,0.000767375
41,3940.59,1.29322,1.73391,1.60578,0.45434,0.49384,0.48024,0.23392,1.77928,1.96541,2.35854,0.000755,0.000755,0.000755
42,4047.89,1.26517,1.67535,1.55886,0.40725,0.49717,0.42193,0.18594,1.87704,1.98307,2.46482,0.000742625,0.000742625,0.000742625
43,4155.48,1.24552,1.66535,1.54156,0.45422,0.47566,0.48385,0.26189,1.70319,1.77955,2.21248,0.00073025,0.00073025,0.00073025
44,4259.17,1.24109,1.6689,1.53275,0.62218,0.36969,0.46734,0.24416,1.71277,1.8602,2.22377,0.000717875,0.000717875,0.000717875
45,4365.28,1.23451,1.67293,1.55396,0.4469,0.53063,0.41638,0.20698,1.79682,1.91325,2.282,0.0007055,0.0007055,0.0007055
46,4470.91,1.23155,1.61347,1.53352,0.41129,0.49076,0.41654,0.21919,1.64231,1.85499,2.15939,0.000693125,0.000693125,0.000693125
47,4577.74,1.20877,1.58708,1.52566,0.3611,0.57037,0.46623,0.23853,1.65287,1.86158,2.19119,0.00068075,0.00068075,0.00068075
48,4682.27,1.19118,1.56981,1.50058,0.43679,0.55686,0.43961,0.21619,1.74901,1.87161,2.25961,0.000668375,0.000668375,0.000668375
49,4776.45,1.22946,1.58262,1.52128,0.44103,0.49231,0.44655,0.21779,1.859,1.96342,2.37098,0.000656,0.000656,0.000656
50,4864.96,1.16882,1.54783,1.47957,0.5201,0.42343,0.46025,0.25536,1.64195,1.87376,2.18913,0.000643625,0.000643625,0.000643625
51,4952.22,1.14863,1.5111,1.48647,0.51547,0.50712,0.48383,0.27482,1.54716,1.78503,2.09162,0.00063125,0.00063125,0.00063125
52,5040.73,1.157,1.5262,1.47399,0.48009,0.48101,0.47318,0.25164,1.71244,1.88372,2.26507,0.000618875,0.000618875,0.000618875
53,5129.38,1.14425,1.45221,1.48039,0.43226,0.5525,0.48914,0.27166,1.57688,1.8168,2.10882,0.0006065,0.0006065,0.0006065
54,5230.66,1.12639,1.48416,1.46915,0.53051,0.50167,0.50389,0.28221,1.57937,1.74981,2.09979,0.000594125,0.000594125,0.000594125
55,5325.63,1.13712,1.501,1.46922,0.59101,0.46988,0.50218,0.27392,1.56601,1.77569,2.09196,0.00058175,0.00058175,0.00058175
56,5420.82,1.09905,1.45004,1.45251,0.41831,0.51247,0.45877,0.2547,1.62072,1.93661,2.11046,0.000569375,0.000569375,0.000569375
57,5514.69,1.14514,1.43662,1.47185,0.52026,0.40218,0.45969,0.24896,1.65832,1.8745,2.16746,0.000557,0.000557,0.000557
58,5609.08,1.11977,1.40812,1.4476,0.63587,0.43645,0.52332,0.28975,1.61746,1.79036,2.14058,0.000544625,0.000544625,0.000544625
59,5701.44,1.11417,1.40637,1.46109,0.47533,0.54763,0.48165,0.26862,1.6719,1.75322,2.23563,0.00053225,0.00053225,0.00053225
60,5794.68,1.12508,1.41395,1.45509,0.43778,0.46953,0.43537,0.24056,1.65062,1.93503,2.21005,0.000519875,0.000519875,0.000519875
61,5889.35,1.06215,1.32464,1.39475,0.54883,0.4647,0.47409,0.26137,1.60457,1.86014,2.14889,0.0005075,0.0005075,0.0005075
62,5985.04,1.05359,1.34402,1.42983,0.43967,0.56286,0.4527,0.24519,1.62863,1.9325,2.18532,0.000495125,0.000495125,0.000495125
63,6082.09,1.12078,1.40157,1.43995,0.41442,0.57316,0.49343,0.27099,1.61734,1.77419,2.1588,0.00048275,0.00048275,0.00048275
64,6196.76,1.02887,1.28937,1.37414,0.41187,0.56517,0.48038,0.26552,1.57601,1.92618,2.10151,0.000470375,0.000470375,0.000470375
65,6305.84,1.05724,1.32712,1.39704,0.41217,0.58391,0.51453,0.27457,1.58464,1.92111,2.13264,0.000458,0.000458,0.000458
66,6404.28,1.05843,1.2824,1.41537,0.53945,0.52696,0.55139,0.30783,1.6137,1.63738,2.15163,0.000445625,0.000445625,0.000445625
67,6503.8,1.0329,1.27405,1.40553,0.50734,0.58387,0.55961,0.31061,1.57746,1.62444,2.13314,0.00043325,0.00043325,0.00043325
68,6599.72,1.04718,1.26494,1.39868,0.4843,0.53391,0.52878,0.29845,1.55525,1.7196,2.11341,0.000420875,0.000420875,0.000420875
69,6693.94,1.00571,1.21501,1.36582,0.60976,0.43882,0.54187,0.30936,1.5852,1.66548,2.15518,0.0004085,0.0004085,0.0004085
70,6788.3,1.04191,1.26006,1.39029,0.57598,0.51168,0.56115,0.3194,1.59337,1.56293,2.15491,0.000396125,0.000396125,0.000396125
71,6894.32,1.07218,1.2519,1.38775,0.58172,0.53882,0.56104,0.32084,1.51289,1.5863,2.06798,0.00038375,0.00038375,0.00038375
72,7004.32,1.02214,1.25388,1.38013,0.57871,0.52499,0.54925,0.31772,1.52263,1.57996,2.05704,0.000371375,0.000371375,0.000371375
73,7113.68,0.96965,1.13476,1.33113,0.55199,0.53077,0.54582,0.31502,1.53041,1.61409,2.08995,0.000359,0.000359,0.000359
74,7218.99,1.0018,1.19949,1.36287,0.64669,0.52746,0.57418,0.33399,1.52245,1.60182,2.11516,0.000346625,0.000346625,0.000346625
75,7326.21,0.94382,1.13455,1.33074,0.71289,0.53987,0.5975,0.35868,1.48619,1.51598,2.06723,0.00033425,0.00033425,0.00033425
76,7434.52,0.96715,1.15035,1.36699,0.61351,0.49804,0.54619,0.32124,1.53446,1.59975,2.13428,0.000321875,0.000321875,0.000321875
