epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.9875,1.8568,3.44921,2.10431,0.00546,0.69105,0.03661,0.01293,1.92102,4.11043,2.56515,0.000225,0.000225,0.000225
2,182.117,1.65204,3.16807,1.95719,0.00606,0.64177,0.02827,0.00791,2.61775,4.11453,3.03836,0.000457921,0.000457921,0.000457921
3,271.885,1.61568,2.93617,1.92735,0.12831,0.15691,0.09405,0.03549,1.78645,3.38012,2.54406,0.00068614,0.00068614,0.00068614
4,375.981,1.64902,2.78752,1.91668,0.62479,0.07154,0.08834,0.03622,2.03777,3.93275,2.65203,0.000909656,0.000909656,0.000909656
5,482.62,1.59608,2.78163,1.89821,0.32532,0.2464,0.06629,0.01681,2.40625,11.5457,3.30603,0.00112847,0.00112847,0.00112847
6,573.861,1.63162,2.71946,1.92295,0.03919,0.20266,0.03345,0.00944,2.2783,6.22682,3.01499,0.00118812,0.00118812,0.00118812
7,663.281,1.58705,2.63066,1.83858,0.05112,0.31009,0.07124,0.02172,2.09482,4.46044,2.82692,0.00117575,0.00117575,0.00117575
8,756.285,1.63369,2.62876,1.90105,0.07529,0.2949,0.08167,0.02882,2.07395,4.56606,2.69004,0.00116337,0.00116337,0.00116337
9,846.522,1.6417,2.62225,1.89817,0.17063,0.2403,0.06913,0.02361,2.17101,4.39926,2.71388,0.001151,0.001151,0.001151
10,938.338,1.58955,2.53588,1.84376,0.09728,0.43709,0.10856,0.0403,1.83397,3.73806,2.4992,0.00113863,0.00113863,0.00113863
11,1030.37,1.5909,2.51534,1.89437,0.11877,0.36672,0.12073,0.05129,1.81128,3.50671,2.49001,0.00112625,0.00112625,0.00112625
12,1119.99,1.56566,2.51949,1.86201,0.22361,0.3501,0.24284,0.11537,1.67108,2.86943,2.24,0.00111388,0.00111388,0.00111388
13,1211.14,1.5453,2.45334,1.81234,0.23585,0.31942,0.21693,0.09092,1.83975,2.60134,2.40885,0.0011015,0.0011015,0.0011015
14,1303.41,1.50959,2.36408,1.79318,0.11116,0.3211,0.14795,0.07158,1.7708,3.42976,2.43341,0.00108913,0.00108913,0.00108913
