epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.256,1.86014,3.35075,2.16347,0.34113,0.12263,0.06594,0.02065,2.64786,4.2609,3.31069,0.000225,0.000225,0.000225
2,1083.04,1.73899,2.9279,2.0016,0.26744,0.34486,0.02163,0.00617,2.41012,8.34718,3.06841,0.000457921,0.000457921,0.000457921
3,1798.15,1.83578,2.92296,2.12893,0.05244,0.3174,0.04945,0.01792,2.02424,40.0858,3.78957,0.00068614,0.00068614,0.00068614
4,2586.28,1.81922,2.82706,2.10802,0.00461,0.10872,0.00263,0.00066,3.71385,958.315,11.5341,0.000909656,0.000909656,0.000909656
5,3347.04,1.8536,2.81984,2.11464,0.00104,0.05804,0.00045,0.00011,3.88594,5240.66,10.0634,0.00112847,0.00112847,0.00112847
6,4105.1,1.88488,2.83017,2.16837,0.25375,0.03659,0.00471,0.00114,2.58021,352.498,5.6292,0.00118812,0.00118812,0.00118812
7,4865.73,1.82702,2.73813,2.0496,0.01702,0.11433,0.00752,0.00193,3.02667,161.937,5.7406,0.00117575,0.00117575,0.00117575
8,5616.42,1.80905,2.67821,2.0566,0.00417,0.01901,0.00297,0.00092,2.90971,6.98244,3.89707,0.00116337,0.00116337,0.00116337
9,6401.22,1.83719,2.7474,2.06414,0.00019,0.0061,9e-05,4e-05,3.53567,944.668,5.45691,0.001151,0.001151,0.001151
10,7363.96,1.81752,2.72513,2.04182,0.00798,0.01345,0.00159,0.00045,3.40126,19.5801,4.54333,0.00113863,0.00113863,0.00113863
11,8468,1.75421,2.63102,2.03683,0.0716,0.22994,0.06081,0.02775,2.30553,4.46203,2.85346,0.00112625,0.00112625,0.00112625
12,9692.91,1.73363,2.58511,1.99784,0.06549,0.22041,0.10102,0.04468,2.06247,3.46822,2.69786,0.00111388,0.00111388,0.00111388
13,12759.2,1.73038,2.53982,1.97109,0.12294,0.2642,0.10098,0.03693,2.25761,3.55863,2.93735,0.0011015,0.0011015,0.0011015
14,14404.9,1.69227,2.48566,1.93653,0.0825,0.09974,0.04866,0.01605,2.47886,3.39859,3.02319,0.00108913,0.00108913,0.00108913
15,15592.9,1.64926,2.40522,1.92863,0.07231,0.35851,0.09505,0.03691,1.89139,2.93486,2.49528,0.00107675,0.00107675,0.00107675
16,16795.4,1.71839,2.44927,1.96321,0.15027,0.34641,0.20026,0.087,1.91401,2.54039,2.57208,0.00106437,0.00106437,0.00106437
17,18557.1,1.64828,2.33893,1.91797,0.45579,0.22751,0.23676,0.09451,2.05046,2.50137,2.613,0.001052,0.001052,0.001052
18,19101.3,1.66595,2.35328,1.93138,0.06019,0.24105,0.06198,0.01735,2.48363,3.56073,2.98821,0.00103962,0.00103962,0.00103962
19,19658.8,1.65344,2.36902,1.94394,0.12328,0.34908,0.11449,0.04111,2.07571,3.2746,2.60155,0.00102725,0.00102725,0.00102725
20,20229.3,1.58357,2.33074,1.86103,0.18349,0.30696,0.19553,0.08213,1.96284,2.44573,2.517,0.00101488,0.00101488,0.00101488
21,20788.4,1.64988,2.31784,1.88518,0.17023,0.36445,0.20304,0.0891,1.97398,2.43838,2.59037,0.0010025,0.0010025,0.0010025
22,21314.6,1.60611,2.24424,1.8753,0.21515,0.34304,0.2017,0.09069,1.86859,2.81919,2.46915,0.000990125,0.000990125,0.000990125
23,21844.2,1.5811,2.22689,1.86204,0.22512,0.35775,0.24769,0.12543,1.82796,2.35942,2.37567,0.00097775,0.00097775,0.00097775
24,22382.8,1.59521,2.29234,1.89344,0.24179,0.38644,0.26063,0.12489,1.82786,2.26693,2.3719,0.000965375,0.000965375,0.000965375
25,22935.1,1.58597,2.21618,1.87068,0.15689,0.35255,0.19863,0.08616,1.92163,2.38272,2.50964,0.000953,0.000953,0.000953
26,23483.3,1.57307,2.26045,1.84296,0.22371,0.30536,0.22299,0.1083,1.81402,2.50978,2.3303,0.000940625,0.000940625,0.000940625
27,24042.6,1.53097,2.20741,1.80506,0.28774,0.42622,0.3165,0.15605,1.75386,2.13081,2.26276,0.00092825,0.00092825,0.00092825
28,24609.1,1.54964,2.1299,1.81207,0.33937,0.44447,0.34783,0.16444,1.83688,2.09848,2.3745,0.000915875,0.000915875,0.000915875
29,25172.2,1.50962,2.13215,1.80307,0.44727,0.40447,0.30364,0.14891,1.8524,2.4252,2.43655,0.0009035,0.0009035,0.0009035
30,25741.7,1.48173,2.12251,1.77698,0.38752,0.33278,0.30556,0.14972,1.83723,2.41609,2.39217,0.000891125,0.000891125,0.000891125
31,26317.6,1.52109,2.07903,1.81475,0.28832,0.44903,0.29967,0.15246,1.75191,2.08555,2.33906,0.00087875,0.00087875,0.00087875
32,26893.5,1.51181,2.03968,1.784,0.25938,0.41133,0.3114,0.15215,1.82738,2.14716,2.40733,0.000866375,0.000866375,0.000866375
33,27760.1,1.44921,2.02169,1.76223,0.1604,0.39067,0.2066,0.09584,1.91015,2.42828,2.39105,0.000854,0.000854,0.000854
34,28616.9,1.46416,2.04097,1.75847,0.25322,0.39426,0.31019,0.16487,1.84841,2.09257,2.31234,0.000841625,0.000841625,0.000841625
35,29461.6,1.50889,2.11107,1.81227,0.33611,0.43759,0.36114,0.17082,1.89657,2.12173,2.44868,0.00082925,0.00082925,0.00082925
36,30291.9,1.43465,1.95371,1.72815,0.24654,0.4484,0.3075,0.15343,1.77378,2.14938,2.25564,0.000816875,0.000816875,0.000816875
37,31166.8,1.46996,2.07421,1.79176,0.34209,0.42187,0.33477,0.16537,1.80678,2.08505,2.24519,0.0008045,0.0008045,0.0008045
38,32022.6,1.44741,2.00861,1.74436,0.44337,0.41007,0.39218,0.20115,1.77579,2.01016,2.27626,0.000792125,0.000792125,0.000792125
39,32924.8,1.47196,2.02925,1.76906,0.37083,0.42026,0.3647,0.18806,1.7608,2.04587,2.28225,0.00077975,0.00077975,0.00077975
40,33785,1.43151,1.93067,1.71126,0.25732,0.46089,0.31136,0.16941,1.72428,1.97438,2.26929,0.000767375,0.000767375,0.000767375
41,34661.4,1.47001,1.95421,1.75177,0.34235,0.44029,0.33613,0.18475,1.81914,2.05684,2.31717,0.000755,0.000755,0.000755
