epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,324.2,1.33939,1.80493,1.63022,0.37779,0.29316,0.30632,0.12301,2.07522,2.32318,2.5442,0.000742625,0.000742625,0.000742625
43,332.114,1.34356,1.85167,1.64631,0.32668,0.40051,0.3288,0.16768,1.71215,2.05813,2.20051,0.00073025,0.00073025,0.00073025
44,339.203,1.37164,1.89389,1.66958,0.4628,0.40191,0.36348,0.18079,1.8466,2.13685,2.37894,0.000717875,0.000717875,0.000717875
45,346.97,1.34462,1.81138,1.63875,0.40391,0.40557,0.40124,0.20254,1.73858,1.96435,2.24758,0.0007055,0.0007055,0.0007055
46,355.567,1.33782,1.82187,1.65559,0.4695,0.39557,0.42933,0.2054,1.77123,1.99034,2.30652,0.000693125,0.000693125,0.000693125
47,362.584,1.29874,1.78591,1.62489,0.4444,0.42697,0.36606,0.18689,1.81611,2.01845,2.46575,0.00068075,0.00068075,0.00068075
48,370.916,1.29955,1.7534,1.62246,0.43517,0.34065,0.35893,0.18299,1.82734,2.03779,2.39735,0.000668375,0.000668375,0.000668375
49,377.763,1.29533,1.75849,1.59165,0.37825,0.3686,0.33134,0.16686,1.82026,2.19015,2.36081,0.000656,0.000656,0.000656
50,386.575,1.27822,1.7085,1.57662,0.57845,0.42168,0.46891,0.23911,1.73291,1.98423,2.27773,0.000643625,0.000643625,0.000643625
51,392.914,1.24526,1.69005,1.54786,0.50578,0.37476,0.40741,0.20144,1.78925,1.90934,2.3092,0.00063125,0.00063125,0.00063125
52,399.7,1.32105,1.73583,1.62395,0.51001,0.36051,0.36359,0.16754,1.84195,2.11458,2.40354,0.000618875,0.000618875,0.000618875
53,408.343,1.27746,1.69697,1.60102,0.46779,0.39484,0.41297,0.21405,1.66592,2.01864,2.18513,0.0006065,0.0006065,0.0006065
54,417.477,1.22326,1.62525,1.5405,0.40519,0.49251,0.43566,0.22057,1.68658,1.88495,2.16989,0.000594125,0.000594125,0.000594125
55,424.617,1.27589,1.66248,1.57507,0.4669,0.39193,0.37631,0.18081,1.80477,2.03343,2.37298,0.00058175,0.00058175,0.00058175
56,433.532,1.25207,1.64525,1.55482,0.42582,0.48135,0.4217,0.21631,1.75768,1.90805,2.24676,0.000569375,0.000569375,0.000569375
57,440.305,1.24505,1.63057,1.56401,0.48081,0.42773,0.40479,0.20438,1.764,1.96593,2.29921,0.000557,0.000557,0.000557
58,449.092,1.18634,1.55239,1.53008,0.47328,0.39694,0.3919,0.18412,1.82736,2.06154,2.3964,0.000544625,0.000544625,0.000544625
59,455.506,1.23914,1.62507,1.57023,0.5362,0.39426,0.46295,0.24034,1.72771,1.91453,2.23342,0.00053225,0.00053225,0.00053225
60,463.748,1.20559,1.60638,1.53409,0.48537,0.39111,0.44043,0.21251,1.76794,2.0068,2.26943,0.000519875,0.000519875,0.000519875
61,470.757,1.23517,1.61158,1.53196,0.39968,0.42974,0.41406,0.21215,1.64064,1.96983,2.16923,0.0005075,0.0005075,0.0005075
