epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,291.059,1.30991,1.76556,1.61648,0.22744,0.33293,0.23407,0.1213,1.87885,2.6215,2.47692,0.000742625,0.000742625,0.000742625
43,296.906,1.31294,1.81997,1.63442,0.23229,0.39343,0.30085,0.13863,1.76995,2.31266,2.28915,0.00073025,0.00073025,0.00073025
44,304.812,1.31782,1.80234,1.63932,0.39774,0.46921,0.40444,0.2006,1.71769,1.93245,2.24434,0.000717875,0.000717875,0.000717875
45,310.54,1.31575,1.75634,1.61207,0.39549,0.50174,0.43243,0.1954,1.76269,1.92653,2.28561,0.0007055,0.0007055,0.0007055
46,318.291,1.30276,1.77385,1.62298,0.52363,0.31486,0.39877,0.17947,1.73979,2.02533,2.23791,0.000693125,0.000693125,0.000693125
47,324.346,1.2531,1.72226,1.58294,0.40054,0.52943,0.45272,0.21867,1.67287,1.87204,2.19459,0.00068075,0.00068075,0.00068075
48,331.421,1.2492,1.71523,1.57953,0.35092,0.54554,0.41946,0.21071,1.69835,1.93124,2.20725,0.000668375,0.000668375,0.000668375
49,338.108,1.25141,1.68298,1.55938,0.41559,0.50716,0.42343,0.21309,1.74144,1.9426,2.27474,0.000656,0.000656,0.000656
50,345.121,1.2221,1.65107,1.53923,0.47101,0.42265,0.41405,0.21045,1.74403,1.94485,2.29577,0.000643625,0.000643625,0.000643625
51,351.173,1.21469,1.58899,1.5167,0.3584,0.43605,0.35951,0.17003,1.86573,2.01466,2.4263,0.00063125,0.00063125,0.00063125
52,357.81,1.25203,1.69225,1.5724,0.40755,0.45517,0.39957,0.19842,1.76504,2.03164,2.30574,0.000618875,0.000618875,0.000618875
53,364.549,1.22994,1.63953,1.56098,0.50029,0.49852,0.41211,0.2233,1.62111,2.01871,2.16997,0.0006065,0.0006065,0.0006065
54,371.559,1.16148,1.54007,1.50557,0.39668,0.40496,0.37401,0.19524,1.61999,2.17693,2.20433,0.000594125,0.000594125,0.000594125
55,378.9,1.20619,1.58419,1.52746,0.32711,0.39536,0.31365,0.14439,1.95877,2.23288,2.61233,0.00058175,0.00058175,0.00058175
56,385.136,1.20387,1.55441,1.50779,0.34796,0.38662,0.3274,0.16241,1.73894,2.08685,2.35321,0.000569375,0.000569375,0.000569375
57,392.4,1.18082,1.5594,1.51397,0.49581,0.46318,0.42303,0.23518,1.65453,1.83769,2.21546,0.000557,0.000557,0.000557
58,398.539,1.15054,1.4858,1.48206,0.47526,0.49462,0.47899,0.24014,1.70528,1.81259,2.30886,0.000544625,0.000544625,0.000544625
59,405.637,1.16441,1.52406,1.50187,0.58767,0.41097,0.46171,0.23635,1.73263,1.8552,2.29532,0.00053225,0.00053225,0.00053225
60,412.839,1.13792,1.50721,1.4822,0.41358,0.425,0.38282,0.18988,1.76432,2.21842,2.31808,0.000519875,0.000519875,0.000519875
61,419.867,1.19032,1.53026,1.49417,0.53532,0.34607,0.4153,0.22024,1.76402,2.06184,2.30177,0.0005075,0.0005075,0.0005075
62,425.671,1.16399,1.43502,1.48644,0.4582,0.52046,0.43861,0.21258,1.72077,1.88684,2.30172,0.000495125,0.000495125,0.000495125
63,433.223,1.14476,1.40386,1.46444,0.40599,0.52183,0.40764,0.20916,1.72052,2.05036,2.28993,0.00048275,0.00048275,0.00048275
64,439.467,1.10604,1.39518,1.45359,0.4137,0.47422,0.39258,0.21066,1.67599,2.05555,2.22173,0.000470375,0.000470375,0.000470375
65,446.861,1.13309,1.45214,1.45589,0.4536,0.46411,0.4105,0.21376,1.68378,2.11082,2.18987,0.000458,0.000458,0.000458
66,453.012,1.11226,1.39456,1.45428,0.40283,0.5165,0.42618,0.23056,1.69167,1.97789,2.2375,0.000445625,0.000445625,0.000445625
67,460.444,1.11097,1.40446,1.45749,0.48745,0.34607,0.36651,0.17834,1.72202,2.07395,2.28445,0.00043325,0.00043325,0.00043325
68,466.464,1.10097,1.39174,1.44679,0.41155,0.47793,0.43167,0.21051,1.74731,1.93919,2.27277,0.000420875,0.000420875,0.000420875
69,473.126,1.09691,1.40154,1.4505,0.49595,0.44461,0.4462,0.21604,1.76648,1.87015,2.28134,0.0004085,0.0004085,0.0004085
70,480.22,1.05938,1.30082,1.39648,0.49871,0.43683,0.41889,0.22547,1.62268,1.94381,2.15823,0.000396125,0.000396125,0.000396125
71,486.799,1.11181,1.3711,1.4387,0.49257,0.46774,0.4333,0.21582,1.74565,1.96101,2.34655,0.00038375,0.00038375,0.00038375
72,493.945,1.046,1.33608,1.40428,0.50856,0.46819,0.47543,0.25276,1.62344,1.8712,2.20297,0.000371375,0.000371375,0.000371375
73,500.013,1.02641,1.29649,1.3878,0.46582,0.49171,0.448,0.2453,1.61072,1.84314,2.1514,0.000359,0.000359,0.000359
74,508.063,1.02527,1.31166,1.37641,0.37222,0.52282,0.4457,0.23455,1.60041,1.89246,2.14638,0.000346625,0.000346625,0.000346625
75,514.109,1.0276,1.28032,1.39492,0.5835,0.42961,0.47029,0.25277,1.59499,1.89177,2.1454,0.00033425,0.00033425,0.00033425
76,521.523,1.01851,1.2973,1.38119,0.43117,0.53892,0.49998,0.25132,1.70875,1.82926,2.26656,0.000321875,0.000321875,0.000321875
77,527.26,1.00546,1.28357,1.35805,0.5576,0.41984,0.46584,0.23974,1.75868,1.83268,2.317,0.0003095,0.0003095,0.0003095
78,534.724,1.00172,1.25692,1.35526,0.55931,0.45264,0.44791,0.24381,1.69072,1.87289,2.26572,0.000297125,0.000297125,0.000297125
79,540.876,1.0319,1.30061,1.39293,0.55846,0.46622,0.45954,0.25034,1.64554,1.91258,2.23175,0.00028475,0.00028475,0.00028475
80,548.507,0.95477,1.18906,1.33032,0.60322,0.4725,0.49324,0.27181,1.64066,1.87541,2.23293,0.000272375,0.000272375,0.000272375
81,554.769,0.9827,1.19161,1.35059,0.56947,0.50938,0.50599,0.28427,1.61131,1.83196,2.20088,0.00026,0.00026,0.00026
82,562.282,0.95774,1.14006,1.35096,0.543,0.52506,0.48656,0.2663,1.6471,1.83482,2.23674,0.000247625,0.000247625,0.000247625
83,568.47,0.93412,1.11489,1.32555,0.5989,0.49152,0.49161,0.26051,1.65144,1.8579,2.24922,0.00023525,0.00023525,0.00023525
84,575.168,0.98921,1.17182,1.35109,0.58312,0.4694,0.47622,0.24734,1.68339,1.87553,2.27657,0.000222875,0.000222875,0.000222875
85,581.498,0.94256,1.11559,1.30081,0.66489,0.4058,0.49255,0.25641,1.63548,1.86421,2.21142,0.0002105,0.0002105,0.0002105
86,588.157,0.94712,1.15577,1.30835,0.66289,0.45057,0.50762,0.26891,1.62426,1.82816,2.17936,0.000198125,0.000198125,0.000198125
87,594.882,0.95239,1.1595,1.31632,0.49621,0.51216,0.48884,0.254,1.62481,1.89676,2.19831,0.00018575,0.00018575,0.00018575
88,600.881,0.92141,1.15211,1.31317,0.51914,0.56829,0.50957,0.26594,1.6117,1.75402,2.20569,0.000173375,0.000173375,0.000173375
89,608.084,0.92005,1.12467,1.32569,0.54709,0.49851,0.51104,0.27464,1.60045,1.73015,2.20582,0.000161,0.000161,0.000161
90,614.202,0.91049,1.08332,1.31526,0.55968,0.48084,0.48945,0.26561,1.65478,1.77202,2.28651,0.000148625,0.000148625,0.000148625
91,624.75,0.98003,1.21282,1.45601,0.47858,0.46938,0.46083,0.2417,1.66301,1.91236,2.29152,0.00013625,0.00013625,0.00013625
92,630.585,0.85448,0.97379,1.34368,0.49985,0.42997,0.42602,0.20296,1.75959,1.99584,2.4264,0.000123875,0.000123875,0.000123875
93,638.006,0.85735,0.94595,1.36826,0.45032,0.48693,0.4379,0.21957,1.66353,1.92308,2.27218,0.0001115,0.0001115,0.0001115
94,644.376,0.78924,0.88066,1.28955,0.59753,0.44974,0.47523,0.24673,1.62872,1.8066,2.19799,9.9125e-05,9.9125e-05,9.9125e-05
95,650.855,0.76668,0.86022,1.29743,0.55238,0.48523,0.46856,0.2419,1.62579,1.81893,2.18873,8.675e-05,8.675e-05,8.675e-05
96,656.607,0.74692,0.80067,1.27049,0.52166,0.51146,0.46993,0.25378,1.59975,1.80525,2.17334,7.4375e-05,7.4375e-05,7.4375e-05
97,663.509,0.71587,0.77751,1.2385,0.64372,0.43674,0.48455,0.26885,1.56304,1.78431,2.14013,6.2e-05,6.2e-05,6.2e-05
98,669.342,0.75394,0.85555,1.30122,0.5837,0.449,0.48695,0.27143,1.57347,1.77348,2.14765,4.9625e-05,4.9625e-05,4.9625e-05
99,676.842,0.71025,0.7824,1.22371,0.57107,0.49371,0.4987,0.2787,1.56098,1.75429,2.14276,3.725e-05,3.725e-05,3.725e-05
100,682.619,0.71992,0.76592,1.25201,0.56732,0.46995,0.49852,0.27841,1.56774,1.74644,2.14937,2.4875e-05,2.4875e-05,2.4875e-05
